# omega0=1, alpha=2
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
1.322295891931838e+01 2.580973667534076e-06 -2.399396816597980e-06
1.331415173945161e+01 2.371135631490684e-06 -2.205384713891105e-06
1.340534455958484e+01 2.178269302605968e-06 -2.026964956575833e-06
1.349653737971807e+01 2.001010279819322e-06 -1.862893366446283e-06
1.358773019985130e+01 1.838103073070524e-06 -1.712024197874875e-06
1.367892301998453e+01 1.688392483072008e-06 -1.573302430866271e-06
1.377011584011776e+01 1.550815656379925e-06 -1.445756659810015e-06
1.386130866025099e+01 1.424394763532382e-06 -1.328492532638050e-06
1.395250148038422e+01 1.308230251998095e-06 -1.220686698463496e-06
1.404369430051745e+01 1.201494629357500e-06 -1.121581224903864e-06
1.413488712065068e+01 1.103426735542442e-06 -1.030478449192082e-06
1.422607994078391e+01 1.013326466109927e-06 -9.467362298681305e-07
1.431727276091714e+01 9.305499114385159e-07 -8.697635683373083e-07
1.440846558105037e+01 8.545048794301824e-07 -7.990165718921115e-07
1.449965840118360e+01 7.846467717916849e-07 -7.339947319360700e-07
1.459085122131683e+01 7.204747862727868e-07 -6.742374931318048e-07
1.468204404145006e+01 6.615284193677471e-07 -6.193210910331101e-07
1.477323686158329e+01 6.073842459543118e-07 -5.688556374625479e-07
1.486442968171652e+01 5.576529541628704e-07 -5.224824344715447e-07
1.495562250184975e+01 5.119766154486210e-07 -4.798714991783997e-07
1.504681532198298e+01 4.700261713917766e-07 -4.407192831293710e-07
1.513800814211621e+01 4.314991201846064e-07 -4.047465710769810e-07
1.522920096224944e+01 3.961173870882767e-07 -3.716965452251715e-07
1.532039378238267e+01 3.636253643652653e-07 -3.413330020597681e-07
1.541158660251590e+01 3.337881073221649e-07 -3.134387098711976e-07
1.550277942264913e+01 3.063896741400348e-07 -2.878138959904343e-07
1.559397224278236e+01 2.812315981316283e-07 -2.642748536041989e-07
1.568516506291559e+01 2.581314819528899e-07 -2.426526587965804e-07
1.577635788304882e+01 2.369217041156710e-07 -2.227919891862083e-07
1.586755070318205e+01 2.174482289048686e-07 -2.045500361952699e-07
1.595874352331528e+01 1.995695115009450e-07 -1.877955036030892e-07
1.604993634344851e+01 1.831554907524984e-07 -1.724076856064638e-07
1.614112916358174e+01 1.680866626373370e-07 -1.582756181349662e-07
1.623232198371497e+01 1.542532279981857e-07 -1.452972976552344e-07
1.632351480384820e+01 1.415543086442406e-07 -1.333789621468912e-07
1.641470762398143e+01 1.298972263755543e-07 -1.224344293469546e-07
1.650590044411466e+01 1.191968399166966e-07 -1.123844877420049e-07
1.659709326424789e+01 1.093749351420853e-07 -1.031563361403737e-07
1.668828608438112e+01 1.003596643403925e-07 -9.468306798241884e-08
1.677947890451435e+01 9.208503060189796e-08 -8.690319684762456e-08
1.687067172464758e+01 8.449041372277729e-08 -7.976021989470813e-08
1.696186454478081e+01 7.752013430612211e-08 -7.320221622689939e-08
1.705305736491404e+01 7.112305300286771e-08 -6.718147741071300e-08
1.714425018504727e+01 6.525220207849692e-08 -6.165416759437202e-08
1.723544300518050e+01 5.986444671499422e-08 -5.658001087296208e-08
1.732663582531373e+01 5.492017366353186e-08 -5.192200373269276e-08
1.741782864544696e+01 5.038300505314457e-08 -4.764615057751383e-08
1.750902146558019e+01 4.621953533545806e-08 -4.372122049888584e-08
1.760021428571342e+01 4.239908950654510e-08 -4.011852359476112e-08
1.769140710584665e+01 3.889350089527063e-08 -3.681170527773868e-08
1.778259992597988e+01 3.567690694404632e-08 -3.377655713578970e-08
1.787379274611311e+01 3.272556153366525e-08 -3.099084302271830e-08
1.796498556624634e+01 3.001766251967476e-08 -2.843413916037138e-08
1.805617838637957e+01 2.753319325435099e-08 -2.608768713123330e-08
1.814737120651280e+01 2.525377696648491e-08 -2.393425872907163e-08
1.823856402664603e+01 2.316254296153876e-08 -2.195803171733112e-08
1.832975684677927e+01 2.124400368790056e-08 -2.014447562054560e-08
1.842094966691250e+01 1.948394179151500e-08 -1.848024674365631e-08
1.851214248704573e+01 1.786930635162576e-08 -1.695309167825277e-08
1.860333530717896e+01 1.638811755520640e-08 -1.555175861381790e-08
1.869452812731219e+01 1.502937912732878e-08 -1.426591582645701e-08
1.878572094744542e+01 1.378299788962761e-08 -1.308607676768642e-08
1.887691376757865e+01 1.263970986954449e-08 -1.200353122198780e-08
1.896810658771188e+01 1.159101242952149e-08 -1.101028204430981e-08
1.905929940784511e+01 1.062910192808341e-08 -1.009898702780605e-08
1.915049222797834e+01 9.746816464094080e-09 -9.262905488101940e-09
1.924168504811157e+01 8.937583291666825e-09 -8.495849183526973e-09
1.933287786824480e+01 8.195370526503961e-09 -7.792137221257996e-09
1.942407068837803e+01 7.514642795064169e-09 -7.146554627400859e-09
1.951526350851126e+01 6.890320506123605e-09 -6.554314284883802e-09
1.960645632864449e+01 6.317742450201544e-09 -6.011021966822349e-09
1.969764914877772e+01 5.792631456144932e-09 -5.512644214905064e-09
1.978884196891095e+01 5.311062856074410e-09 -5.055478832492273e-09
1.988003478904418e+01 4.869435530039863e-09 -4.636127780653985e-09
1.997122760917741e+01 4.464445320257573e-09 -4.251472282426000e-09
2.006242042931064e+01 4.093060621832845e-09 -3.898649956252297e-09
2.015361324944387e+01 3.752499972531150e-09 -3.575033814015056e-09
2.024480606957710e+01 3.440211478557201e-09 -3.278212972331160e-09
2.033599888971033e+01 3.153853926536195e-09 -3.005974938007299e-09
2.042719170984356e+01 2.891279444057653e-09 -2.756289339779679e-09
2.051838452997679e+01 2.650517582325873e-09 -2.527292988796701e-09
2.060957735011002e+01 2.429760704740560e-09 -2.317276159805609e-09
2.070077017024325e+01 2.227350574679599e-09 -2.124669993743232e-09
2.079196299037648e+01 2.041766044439776e-09 -1.948034930467389e-09
2.088315581050971e+01 1.871611755272186e-09 -1.786050087755432e-09
2.097434863064294e+01 1.715607765783560e-09 -1.637503509491415e-09
2.106554145077617e+01 1.572580032714877e-09 -1.501283212211064e-09
2.115673427090940e+01 1.441451674302329e-09 -1.376368964917844e-09
2.124792709104263e+01 1.321234952116961e-09 -1.261824742364357e-09
2.133911991117586e+01 1.211023912508724e-09 -1.156791796848065e-09
2.143031273130909e+01 1.109987633585440e-09 -1.060482298033209e-09
2.152150555144232e+01 1.017364028071693e-09 -9.721734944131138e-10
2.161269837157555e+01 9.324541564483151e-10 -8.912023537978191e-10
2.170389119170878e+01 8.546170084991226e-10 -8.169606436778501e-10
2.179508401184201e+01 7.832647148143680e-10 -7.488904155003062e-10
2.188627683197524e+01 7.178581529446538e-10 -6.864798598210109e-10
2.197746965210847e+01 6.579029157873308e-10 -6.292595019868796e-10
2.206866247224170e+01 6.029456124404043e-10 -5.767987104750548e-10
2.215985529237493e+01 5.525704741957726e-10 -5.287024922873164e-10
2.225104811250816e+01 5.063962405817678e-10 -4.846085518859004e-10
2.234224093264139e+01 4.640733024205664e-10 -4.441845920751038e-10
2.243343375277462e+01 4.252810807539029e-10 -4.071258369954984e-10
2.252462657290785e+01 3.897256222242917e-10 -3.731527590168850e-10
2.261581939304108e+01 3.571373930911380e-10 -3.420089928037958e-10
2.270701221317431e+01 3.272692555232368e-10 -3.134594211940803e-10
2.279820503330754e+01 2.998946111517657e-10 -2.872884187866475e-10
2.288939785344077e+01 2.748056981007298e-10 -2.632982402877966e-10
2.298059067357400e+01 2.518120288438147e-10 -2.413075417250194e-10
2.307178349370723e+01 2.307389572759978e-10 -2.211500236103086e-10
