-8.100000e-01 1.234000e-01
-7.849298e-01 3.064412e-01
-7.389800e-01 4.819495e-01
-6.731487e-01 6.478218e-01
-5.886837e-01 8.018658e-01
-4.870927e-01 9.418142e-01
-3.701485e-01 1.065396e+00
-2.398821e-01 1.170465e+00
-9.855952e-02 1.255165e+00
5.136363e-02 1.318116e+00
2.073068e-01 1.358578e+00
3.666463e-01 1.376561e+00
5.268048e-01 1.372851e+00
6.853392e-01 1.348946e+00
8.400152e-01 1.306912e+00
9.888625e-01 1.249182e+00
1.130204e+00 1.178334e+00
1.262663e+00 1.096889e+00
1.385141e+00 1.007147e+00
1.496791e+00 9.110690e-01
1.596972e+00 8.102235e-01
1.685199e+00 7.057672e-01
1.761101e+00 5.984654e-01
1.824375e+00 4.887348e-01
1.874746e+00 3.766971e-01
1.911942e+00 2.622390e-01
1.935667e+00 1.450732e-01
1.945582e+00 2.479796e-02
1.941299e+00 -9.904313e-02
1.922378e+00 -2.269000e-01
1.888327e+00 -3.591506e-01
1.838620e+00 -4.960271e-01
1.772716e+00 -6.375316e-01
1.690092e+00 -7.833395e-01
1.590286e+00 -9.326916e-01
1.472957e+00 -1.084283e+00
1.337950e+00 -1.236164e+00
1.185380e+00 -1.385674e+00
1.015711e+00 -1.529451e+00
8.298356e-01 -1.663540e+00
6.291296e-01 -1.783649e+00
4.154684e-01 -1.885550e+00
1.911917e-01 -1.965586e+00
-4.099531e-02 -2.021212e+00
-2.781787e-01 -2.051453e+00
-5.174358e-01 -2.057152e+00
-7.560479e-01 -2.040941e+00
-9.916936e-01 -2.006951e+00
-1.222596e+00 -1.960321e+00
-1.447608e+00 -1.906642e+00
-1.666234e+00 -1.851455e+00
-1.878601e+00 -1.799860e+00
-2.085393e+00 -1.756293e+00
-2.287764e+00 -1.724431e+00
-2.487254e+00 -1.707201e+00
-2.685702e+00 -1.706833e+00
-2.885169e+00 -1.724931e+00
-3.087868e+00 -1.762500e+00
-3.296093e+00 -1.819930e+00
-3.512144e+00 -1.896896e+00
-3.738232e+00 -1.992167e+00
-3.976361e+00 -2.103344e+00
