# omega0=1, alpha=3
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  1.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 9.962054476491571e-02 -7.953988088631644e-03
1.823856402664613e-01 9.860880974577872e-02 -1.394666588906779e-02
2.735784603996920e-01 9.712344934020643e-02 -1.840410300895452e-02
3.647712805329227e-01 9.528857241648159e-02 -2.166148497922529e-02
4.559641006661534e-01 9.320111388912397e-02 -2.398244267307294e-02
5.471569207993838e-01 9.093663830019885e-02 -2.557427449258526e-02
6.383497409326140e-01 8.855390864106846e-02 -2.659993293858550e-02
7.295425610658441e-01 8.609848290822304e-02 -2.718746267071719e-02
8.207353811990743e-01 8.360554512975220e-02 -2.743743153493844e-02
9.119282013323045e-01 8.110213366540540e-02 -2.742878115548617e-02
1.003121021465535e+00 7.860889497428392e-02 -2.722343310912364e-02
1.094313841598765e+00 7.614146378605453e-02 -2.686991530945759e-02
1.185506661731995e+00 7.371154914598697e-02 -2.640621698122217e-02
1.276699481865225e+00 7.132778890188729e-02 -2.586203629807084e-02
1.367892301998455e+00 6.899642189297708e-02 -2.526054986399700e-02
1.459085122131685e+00 6.672181662315789e-02 -2.461980574205378e-02
1.550277942264916e+00 6.450688695215742e-02 -2.395382010014648e-02
1.641470762398146e+00 6.235341884381551e-02 -2.327344051111867e-02
1.732663582531376e+00 6.026232709799276e-02 -2.258702553505061e-02
1.823856402664606e+00 5.823385696738850e-02 -2.190097965513249e-02
1.915049222797836e+00 5.626774239155487e-02 -2.122017432784286e-02
2.006242042931067e+00 5.436333008543423e-02 -2.054827936562636e-02
2.097434863064297e+00 5.251967675542642e-02 -1.988802371961799e-02
2.188627683197527e+00 5.073562516942269e-02 -1.924140067503088e-02
2.279820503330757e+00 4.900986358955674e-02 -1.860982927945961e-02
2.371013323463987e+00 4.734097211766430e-02 -1.799428131101583e-02
2.462206143597217e+00 4.572745874853534e-02 -1.739538111443217e-02
2.553398963730448e+00 4.416778733163550e-02 -1.681348407531641e-02
2.644591783863678e+00 4.266039917393148e-02 -1.624873827608438e-02
2.735784603996908e+00 4.120372964790869e-02 -1.570113291127504e-02
2.826977424130138e+00 3.979622087866410e-02 -1.517053627947421e-02
2.918170244263368e+00 3.843633135543599e-02 -1.465672557027296e-02
