# omega0=1, alpha=0.5
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
8.845703552923329e+00 -4.985469954371223e-03 -8.584793641312217e-03
8.936896373056559e+00 -5.729297205851355e-03 -7.723730631520724e-03
9.028089193189789e+00 -6.393427057535727e-03 -6.838302698364944e-03
9.119282013323019e+00 -6.976016693750611e-03 -5.936788951533696e-03
9.210474833456249e+00 -7.475967856983799e-03 -5.027230090306414e-03
9.301667653589480e+00 -7.892902576743983e-03 -4.117373706435989e-03
9.392860473722710e+00 -8.227134128826506e-03 -3.214624412348983e-03
9.484053293855940e+00 -8.479633674017741e-03 -2.325998983689595e-03
9.575246113989170e+00 -8.651993040248312e-03 -1.458086655841260e-03
9.666438934122400e+00 -8.746384122730799e-03 -6.170146658540536e-04
9.757631754255630e+00 -8.765515382813505e-03 1.915809154817074e-04
9.848824574388860e+00 -8.712585928301073e-03 9.625790615478820e-04
9.940017394522091e+00 -8.591237656012747e-03 1.691392420722439e-03
1.003121021465532e+01 -8.405505931570323e-03 2.373980783521554e-03
1.012240303478855e+01 -8.159769272050872e-03 3.006859507433236e-03
1.021359585492178e+01 -7.858698484441316e-03 3.587103056094248e-03
1.030478867505501e+01 -7.507205697045055e-03 4.112343841906004e-03
1.039598149518824e+01 -7.110393702379219e-03 4.580766590674185e-03
1.048717431532147e+01 -6.673506008938793e-03 4.991098473296355e-03
1.057836713545470e+01 -6.201877975772139e-03 5.342595272841361e-03
1.066955995558793e+01 -5.700889378398336e-03 5.635023875517434e-03
1.076075277572116e+01 -5.175918727490175e-03 5.868641390989930e-03
1.085194559585439e+01 -4.632299633238502e-03 6.044171221284967e-03
1.094313841598762e+01 -4.075279478693837e-03 6.162776408125293e-03
1.103433123612085e+01 -3.509980634936581e-03 6.226030596035706e-03
1.112552405625408e+01 -2.941364419939042e-03 6.235886952995220e-03
1.121671687638731e+01 -2.374197971725351e-03 6.194645391891592e-03
1.130790969652054e+01 -1.813024175174311e-03 6.104918434660819e-03
1.139910251665377e+01 -1.262134750799554e-03 5.969596056899101e-03
1.149029533678700e+01 -7.255465833227161e-04 5.791809844064754e-03
1.158148815692023e+01 -2.069813380562624e-04 5.574896781306307e-03
1.167268097705346e+01 2.901516157552008e-04 5.322362987637981e-03
1.176387379718669e+01 7.627689832274643e-04 5.037847691825201e-03
1.185506661731992e+01 1.208124058792871e-03 4.725087732140493e-03
1.194625943745315e+01 1.623814037824700e-03 4.387882845311742e-03
1.203745225758638e+01 2.007784208307196e-03 4.030061991723243e-03
1.212864507771961e+01 2.358329127579429e-03 3.655450944460994e-03
1.221983789785284e+01 2.674090909009680e-03 3.267841349333802e-03
1.231103071798607e+01 2.954054761382806e-03 2.870961441766051e-03
1.240222353811930e+01 3.197541939744840e-03 2.468448584657764e-03
1.249341635825254e+01 3.404200280405087e-03 2.063823769149061e-03
1.258460917838577e+01 3.573992504722443e-03 1.660468197908497e-03
1.267580199851900e+01 3.707182486194015e-03 1.261602048278651e-03
1.276699481865223e+01 3.804319683231488e-03 8.702654905388644e-04
1.285818763878546e+01 3.866221945881281e-03 4.893020148546022e-04
1.294938045891869e+01 3.893956908660705e-03 1.213440993343780e-04
