# omega0=1, alpha=0.1
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  1.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 9.958643024084207e-02 -9.050211997139804e-03
1.823856402664613e-01 9.835413522115342e-02 -1.794376819453657e-02
2.735784603996920e-01 9.632069181138027e-02 -2.660886276314053e-02
3.647712805329227e-01 9.351011528853902e-02 -3.497618843647281e-02
4.559641006661534e-01 8.995260690361377e-02 -4.297947163109361e-02
5.471569207993838e-01 8.568425379141352e-02 -5.055598198665198e-02
6.383497409326140e-01 8.074668370592851e-02 -5.764701301082098e-02
7.295425610658441e-01 7.518667737163821e-02 -6.419833040231150e-02
8.207353811990743e-01 6.905574155825803e-02 -7.016058453123582e-02
9.119282013323045e-01 6.240964631006065e-02 -7.548968350967609e-02
1.003121021465535e+00 5.530793008559207e-02 -8.014712331318528e-02
1.094313841598765e+00 4.781337688149281e-02 -8.410027153826542e-02
1.185506661731995e+00 3.999146971566381e-02 -8.732260161740507e-02
1.276699481865225e+00 3.190982511951895e-02 -8.979387467013321e-02
1.367892301998455e+00 2.363761352551380e-02 -9.150026664550104e-02
1.459085122131685e+00 1.524497062391822e-02 -9.243443899972392e-02
1.550277942264916e+00 6.802404892454218e-03 -9.259555183577166e-02
1.641470762398146e+00 -1.619793433668845e-03 -9.198921918608449e-02
1.732663582531376e+00 -9.952136690856024e-03 -9.062740691679011e-02
1.823856402664606e+00 -1.812651223542237e-02 -8.852827454016156e-02
1.915049222797836e+00 -2.607673798464965e-02 -8.571596300907869e-02
2.006242042931067e+00 -3.373909624728658e-02 -8.222033130180251e-02
2.097434863064297e+00 -4.105284132681473e-02 -7.807664525980766e-02
2.188627683197527e+00 -4.796067672259643e-02 -7.332522269340135e-02
2.279820503330757e+00 -5.440919814085632e-02 -6.801103920368669e-02
2.371013323463987e+00 -6.034929894811582e-02 -6.218329947686176e-02
2.462206143597217e+00 -6.573653514259029e-02 -5.589497898731677e-02
2.553398963730448e+00 -7.053144737284744e-02 -4.920234110627167e-02
2.644591783863678e+00 -7.469983798731422e-02 -4.216443456601128e-02
2.735784603996908e+00 -7.821300154405396e-02 -3.484257609450876e-02
2.826977424130138e+00 -8.104790764052129e-02 -2.729982283330323e-02
2.918170244263368e+00 -8.318733533273115e-02 -1.960043890658923e-02
3.009363064396598e+00 -8.461995879961440e-02 -1.180936024518929e-02
3.100555884529828e+00 -8.534038427052471e-02 -3.991661507229727e-03
