# omega0=1, alpha=0.2
# theta0=-0.81, theta_dot0=0.1234
# t_start=0, t_end=100, h=0.0116355
#   t          x(t)                 v(t)       
8.377580409572717e+00 -7.283863853105706e+00 -2.513856965285149e+00
8.493935693039004e+00 -7.568031605635293e+00 -2.367832072959637e+00
8.610290976505292e+00 -7.834416029409725e+00 -2.209721016724412e+00
8.726646259971579e+00 -8.082121656122265e+00 -2.048060319801301e+00
8.843001543437866e+00 -8.311150838919010e+00 -1.889674090939123e+00
8.959356826904154e+00 -8.522188453166073e+00 -1.739470026003168e+00
9.075712110370441e+00 -8.716384601167439e+00 -1.600579958872385e+00
9.192067393836728e+00 -8.895165440992374e+00 -1.474677099780784e+00
9.308422677303016e+00 -9.060084714242276e+00 -1.362341346467362e+00
9.424777960769303e+00 -9.212716636824133e+00 -1.263396229805099e+00
9.541133244235590e+00 -9.354584550305502e+00 -1.177183754743989e+00
9.657488527701878e+00 -9.487117531894132e+00 -1.102770518357071e+00
9.773843811168165e+00 -9.611627301210198e+00 -1.039092282679397e+00
9.890199094634452e+00 -9.729298953746980e+00 -9.850492221559509e-01
1.000655437810074e+01 -9.841190520778547e+00 -9.395643650468839e-01
1.012290966156703e+01 -9.948237720478977e+00 -9.016159833251219e-01
1.023926494503331e+01 -1.005126138181314e+01 -8.702523560728601e-01
1.035562022849960e+01 -1.015097587271387e+01 -8.445951462165445e-01
1.047197551196589e+01 -1.024799748208947e+01 -8.238358483649599e-01
1.058833079543218e+01 -1.034285214166890e+01 -8.072284220841409e-01
1.070468607889846e+01 -1.043598217677909e+01 -7.940802626532076e-01
1.082104136236475e+01 -1.052775198436069e+01 -7.837429955852572e-01
1.093739664583104e+01 -1.061845268147369e+01 -7.756041294467098e-01
1.105375192929733e+01 -1.070830586891208e+01 -7.690802937585376e-01
1.117010721276361e+01 -1.079746672572348e+01 -7.636125694943370e-01
1.128646249622990e+01 -1.088602669914089e+01 -7.586642468079517e-01
1.140281777969619e+01 -1.097401608420748e+01 -7.537211878872284e-01
1.151917306316247e+01 -1.106140679885709e+01 -7.482948127509640e-01
1.163552834662876e+01 -1.114811565237580e+01 -7.419275531189232e-01
1.175188363009505e+01 -1.123400837649182e+01 -7.342004348544356e-01
1.186823891356134e+01 -1.131890463792639e+01 -7.247422628568669e-01
1.198459419702762e+01 -1.140258417981971e+01 -7.132397113228007e-01
1.210094948049391e+01 -1.148479415012330e+01 -6.994474894370284e-01
1.221730476396020e+01 -1.156525757361126e+01 -6.831976807504808e-01
1.233366004742649e+01 -1.164368281885025e+01 -6.644073621368715e-01
1.245001533089277e+01 -1.171977381215642e+01 -6.430837042207975e-01
1.256637061435906e+01 -1.179324066744350e+01 -6.193259355835729e-01
1.268272589782535e+01 -1.186381034284995e+01 -5.933238002020742e-01
1.279908118129164e+01 -1.193123690828677e+01 -5.653524223329809e-01
1.291543646475792e+01 -1.199531101491070e+01 -5.357637798903311e-01
1.303179174822421e+01 -1.205586819615270e+01 -5.049752409786126e-01
