#  N              Simpsons               Milne         
0.69897  -2.642087769894574e+00  -3.145918465208279e+00
9.542425094393249e-01  -3.871101365772734e+00  -5.072262757059028e+00
1.113943352306837e+00  -4.579819791631948e+00  -6.149832271685507e+00
1.230448921378274e+00  -5.081133871559198e+00  -6.916156990902405e+00
1.322219294733919e+00  -5.469988733591862e+00  -7.460618034544417e+00
1.397940008672038e+00  -5.785937998641159e+00  -8.094049830692873e+00
1.462397997898956e+00  -6.054547160734125e+00  -7.750662464301519e+00
1.518513939877888e+00  -6.278315417182132e+00  -8.050273938088385e+00
1.568201724066995e+00  -6.485192350737251e+00  -8.838967377979587e+00
1.612783856719735e+00  -6.683727179501275e+00  -8.305558965601833e+00
1.653212513775344e+00  -6.832391926166117e+00  -8.068039477437370e+00
1.690196080028514e+00  -6.945700808590776e+00  -7.930482341434647e+00
1.724275869600789e+00  -7.145310611512794e+00  -7.995223837787674e+00
1.755874855672491e+00  -7.317979919407187e+00  -8.261599698277903e+00
1.785329835010767e+00  -7.383648692438283e+00  -9.054673339754400e+00
1.812913356642855e+00  -7.518671163389572e+00  -8.551045443693400e+00
1.838849090737255e+00  -7.567948935692315e+00  -8.333777627600655e+00
1.863322860120456e+00  -7.493423192830929e+00  -9.070875882244108e+00
1.886490725172482e+00  -7.910820365927747e+00  -8.600423512233444e+00
1.908485018878650e+00  -7.904286948489187e+00  -9.289900325646206e+00
1.929418925714293e+00  -7.884083015261331e+00  -8.322301916273000e+00
1.949390006644913e+00  -7.976846087246637e+00  -1.000755228989235e+01
1.968482948553935e+00  -8.531120349499254e+00  -8.076340131653335e+00
1.986771734266245e+00  -8.149773897325652e+00  -1.208877539002304e+01
2.004321373782643e+00  -9.435693030297923e+00  -8.778603681038957e+00
2.021189299069938e+00  -7.976306560002717e+00  -8.140835405316503e+00
2.037426497940624e+00  -8.447159445759345e+00  -8.757911851673716e+00
2.053078443483420e+00  -8.264140207079450e+00  -8.463156129527547e+00
2.068185861746162e+00  -8.320058010071563e+00  -8.878449726814214e+00
2.082785370316450e+00  -8.272317873065900e+00  -8.531361825611578e+00
2.096910013008056e+00  -9.110748533923019e+00  -8.449146267300110e+00
2.110589710299249e+00  -8.240363180214706e+00  -8.385796447179841e+00
2.123851640967086e+00  -8.714202389162823e+00  -8.506815013470659e+00
2.136720567156407e+00  -8.479791242472562e+00  -8.690057353533760e+00
2.149219112655380e+00  -8.612973018665771e+00  -9.331247426659461e+00
2.161368002234975e+00  -8.633577546034484e+00  -8.198876060045027e+00
2.173186268412274e+00  -8.613018667131822e+00  -8.882489823830319e+00
2.184691430817599e+00  -8.907775616091378e+00  -8.408360997882893e+00
2.195899652409234e+00  -8.543894512362877e+00  -8.733033503458284e+00
2.206825876031850e+00  -8.299071205867937e+00  -8.344246736542527e+00
2.217483944213906e+00  -9.733505356192616e+00  -8.988309789485498e+00
2.227886704613673e+00  -8.925499301186866e+00  -9.304695557791739e+00
2.238046103128795e+00  -1.061707061034403e+01  -8.467718716613025e+00
2.247973266361807e+00  -8.392841674066842e+00  -8.446101610813473e+00
2.257678574869185e+00  -8.601747240202847e+00  -8.596220103581855e+00
2.267171728403014e+00  -8.422165580492583e+00  -8.358614446416023e+00
2.276461804173244e+00  -8.320061173687693e+00  -8.082457223977277e+00
2.285557309007774e+00  -8.745942119128074e+00  -8.840905802541135e+00
2.294466226161593e+00  -8.526231906567805e+00  -9.087858141790068e+00
2.303196057420489e+00  -8.234945290820500e+00  -9.682026487748898e+00
2.311753861055754e+00  -8.946844893184704e+00  -8.974119703303003e+00
2.320146286111054e+00  -8.714835258747362e+00  -8.677923091693588e+00
2.328379603438738e+00  -8.598841701573667e+00  -8.735289619208515e+00
2.336459733848530e+00  -9.647096727422477e+00  -9.576901129457633e+00
2.344392273685111e+00  -8.605912547317310e+00  -8.393865837884100e+00
2.352182518111363e+00  -9.340481958373747e+00  -8.824876359713683e+00
2.359835482339888e+00  -8.711065583871262e+00  -8.795288468212537e+00
2.367355921026019e+00  -8.861345201212691e+00  -8.719913223956874e+00
2.374748346010104e+00  -9.110078734464505e+00  -8.916565711835760e+00
2.382017042574868e+00  -9.041907934548036e+00  -9.212942680546307e+00
2.389166084364533e+00  -8.484505166421773e+00  -8.415831060803823e+00
2.396199347095736e+00  -8.805422159906586e+00  -8.847801983843420e+00
2.403120521175818e+00  -1.103357996869397e+01  -8.762617356522645e+00
2.409933123331295e+00  -9.096604151915473e+00  -9.327322050655601e+00
2.416640507338281e+00  -8.286531897656532e+00  -8.333659464323896e+00
2.423245873936808e+00  -9.042142491772372e+00  -8.921465057004633e+00
2.429752280002408e+00  -9.320828920778666e+00  -9.193378808453648e+00
2.436162647040756e+00  -9.377679947067914e+00  -8.041626696676081e+00
2.442479769064449e+00  -8.670125625157548e+00  -8.214831770917728e+00
2.448706319905080e+00  -8.339104230818201e+00  -8.879039378250567e+00
2.454844860008510e+00  -9.037651156330281e+00  -8.010949582317926e+00
2.460897842756548e+00  -9.971856440410868e+00  -8.817065013352606e+00
2.466867620354110e+00  -8.064972867489363e+00  -8.475209497276143e+00
2.472756449317212e+00  -9.563522805879574e+00  -8.649229628944420e+00
2.478566495593844e+00  -8.557988773116358e+00  -1.006209780285625e+01
2.484299839346786e+00  -8.977360353080400e+00  -8.978739769760139e+00
2.489958479424835e+00  -8.582324924682455e+00  -8.641617548812505e+00
2.495544337546448e+00  -8.730272276799951e+00  -9.357584959036975e+00
2.501059262217752e+00  -9.423891240199369e+00  -8.899362435917244e+00
