10 1.18319161 1.00000000 0.18319161
20 1.14102956 1.00000000 0.14102956
40 1.15850584 1.00000000 0.15850584
80 1.11707553 1.00000000 0.11707553
160 0.98707054 1.00000000 0.01292946
320 1.13564590 1.00000000 0.13564590
640 0.94856548 1.00000000 0.05143452
1280 1.02498875 1.00000000 0.02498875
2560 0.99502524 1.00000000 0.00497476
5120 0.97655168 1.00000000 0.02344832
10240 1.00086223 1.00000000 0.00086223
20480 1.01343042 1.00000000 0.01343042
40960 0.99876453 1.00000000 0.00123547
81920 1.00145935 1.00000000 0.00145935
163840 1.00012852 1.00000000 0.00012852
327680 0.99690270 1.00000000 0.00309730
655360 1.00089825 1.00000000 0.00089825
